"date","value"
"2005-02-18",13.949305730876
"2005-02-26",13.6286728760356
"2005-03-06",16.5296681741405
"2005-03-14",20.726505437429
"2005-03-22",20.4827176557108
"2005-03-30",36.8568260847654
"2005-04-07",40.0906616943003
"2005-04-15",41.8154484713505
"2005-04-23",39.0056947034219
"2005-05-01",40.7349695106587
"2005-05-09",37.4316383611349
"2005-05-17",40.9875018898352
"2005-05-25",26.432847855667
"2005-06-02",21.7337600161266
"2005-06-10",19.9086831628282
"2005-06-18",21.5615078365167
"2005-06-26",21.0648591442826
"2005-07-04",40.2486669487939
"2005-07-12",55.2176800391922
"2005-07-20",62.6381874598759
"2005-07-28",67.0932546806874
"2005-08-05",60.4769440104823
"2005-08-13",61.9708713400192
"2005-08-21",52.2702716323137
"2005-08-29",52.1427707503906
"2005-09-06",45.495943153757
